 ,English,Vietnamese,French,
cityversion.narrator.dialogue.11,The 36 Streets quarter concentrated the largest part of the local population. It was the true Vietnamese heart of the city.,Khu 36 phố phường là nơi tập trung phần lớn cư dân bản địa. Đây chính là trung tâm sinh hoạt và giao thương của người Việt trong thành phố.,Le quartier des 36 corporations concentrait la plus grande partie de la population locale.  C’était le véritable cœur vietnamien de la ville.,
cityversion.narrator.dialogue.12,Let us take a closer look. Press the circle to discover the street at eye level.,Cùng nhau tham quan trực tiếp nó nào. Nhấn vào vòng tròn để được bước vào phố và quan sát.,"Allons voir ça de plus près, appuie sur le cercle pour découvrir la rue à hauteur d’homme.",
cityversion.narrator.dialogue.13,"Here stretches the colonial city, the current French quarter. You could already find there the opera house, the Métropole hotel and the palace of the Resident Superior.","Đây là khu đô thị thuộc địa, nay là khu phố Pháp. Khi đó, nơi đây đã hiện diện những công trình như Nhà hát Lớn, khách sạn Métropole và Dinh Thống sứ Bắc Kỳ.","Ici s’étend la ville coloniale, l’actuel quartier français. On y trouvait déjà, l’opéra, l'hôtel Métropole et le palais du Résident supérieur.",
cityversion.narrator.dialogue.14,"Do you recognise the Presidential Palace? At the time, it was white and housed the Governor-General of Indochina.","Bạn có nhận ra Phủ Chủ Tịch không? Vào thời đó, nó được sơn màu trắng, đồng thời cũng là nơi sinh hoạt và làm việc của Toàn quyền Đông Dương.","Tu reconnais le palais présidentiel ? A l’époque, il était blanc et abritait le gouverneur général d’Indochine.",
cityversion.narrator.dialogue.15,"The Trấn Quốc Pagoda did not yet have its stupa. In the 17th century, the temple had been moved from the banks of the Red River to protect it from floods.","Chùa Trấn Quốc lúc đó chưa có tháp. Vào thế kỷ 17, ngôi chùa đã được dời khỏi bờ sông Hồng để bảo vệ khỏi những trận lũ.","La pagode Trấn Quốc n’avait pas encore son stupa. Au 17e siècle, le temple avait été  déplacé depuis les rives du fleuve Rouge afin de le protéger des crues.",
cityversion.narrator.dialogue.16,"Here is a brief, non-exhaustive tour of the city at the time. In 1926, Hà Nội was a city still under construction.","Vừa rồi là cái nhìn khái quát về Hà Nội thời bấy giờ. Năm 1926, Hà Nội vẫn là một thành phố đang trong quá trình xây dựng và phát triển.","Voici un petit tour non exhaustif de la ville à l’époque. En 1926, Hà Nội était une ville toujours en construction. ",
cityversion.narrator.dialogue.17,"Even though the city has changed a great deal today, you can still recognise its heart and the foundations upon which it was built.","Dù thành phố ngày nay đã chuyển mình rất nhiều, bạn vẫn có thể nhận ra trung tâm lịch sử của thành phố và những nền tảng đã làm nên diện mạo của Hà Nội hôm nay.","Même si aujourd’hui la ville à beaucoup changé, tu peux encore reconnaître son cœur et les fondations sur lesquelles elle s’est construite.",
cityversion.narrator.dialogue.18,"If you wish, you can continue to explore the map.","Nếu muốn, bạn có thể tiếp tục khám phá bản đồ.","Si tu le souhaites, tu peux continuer à explorer la carte. ",
cityversion.narrator.dialogue.19,"When you are done, remember to place the headset back on its stand.","Còn khi nào bạn đã xong, nhớ đặt kính thực tế ảo trở lại giá đỡ nhé. ","Quand tu auras terminé, pense bien à reposer le casque sur son support. ",
cityversion.narrator.Goodbye,Goodbye!,Tạm biệt!,Au revoir !,
